ID,Date,Purchase Name,Value (R$)
1,8 Jun 2025,STANDARD PACK 5,30.90
2,8 Jun 2025,Daily Delivery,6.00
3,8 Jun 2025,STANDARD PACK 4,24.90
4,8 Jun 2025,Daily Deal (30d)2,30.90
5,8 Jun 2025,STANDARD PACK 3,18.50
6,9 Jun 2025,Daily Deal (30d)3,61.90
7,9 Jun 2025,STANDARD PACK 5,30.90
8,9 Jun 2025,Daily Tribute,18.50
9,11 Jun 2025,STANDARD PACK 5,30.90
10,11 Jun 2025,STANDARD PACK 5,30.90
11,11 Jun 2025,Premium pass,61.90
12,11 Jun 2025,STANDARD PACK 5,30.90
13,11 Jun 2025,STANDARD PACK 10,123.90
14,12 Jun 2025,STANDARD PACK 5,30.90
15,12 Jun 2025,STANDARD PACK 2,12.50
16,12 Jun 2025,STANDARD PACK 5,30.90
17,12 Jun 2025,STANDARD PACK 7,61.90
18,13 Jun 2025,STANDARD PACK 5,30.90
19,13 Jun 2025,Premium pass,61.90
20,13 Jun 2025,Daily Deal (7d),30.90
21,13 Jun 2025,STANDARD PACK 5,30.90
22,13 Jun 2025,STANDARD PACK 7,61.90
23,14 Jun 2025,STANDARD PACK 10,123.90
24,14 Jun 2025,STANDARD PACK 7,61.90
25,14 Jun 2025,Daily Worship,30.90
26,14 Jun 2025,STANDARD PACK 5,30.90
27,14 Jun 2025,Mini Pass,6.00
28,15 Jun 2025,STANDARD PACK 10,123.90
29,15 Jun 2025,STANDARD PACK 7,61.90
30,15 Jun 2025,STANDARD PACK 5,30.90
31,15 Jun 2025,STANDARD PACK 1,6.00
32,15 Jun 2025,Daily Worship,30.90
33,16 Jun 2025,STANDARD PACK 10,123.90
34,16 Jun 2025,STANDARD PACK 7,61.90
35,16 Jun 2025,STANDARD PACK 5,30.90
36,16 Jun 2025,STANDARD PACK 14,309.90
37,16 Jun 2025,STANDARD PACK 1,6.00
38,16 Jun 2025,STANDARD PACK 10,123.90
39,17 Jun 2025,STANDARD PACK 5,30.90
40,17 Jun 2025,STANDARD PACK 5,30.90
41,17 Jun 2025,Daily Worship,30.90
42,17 Jun 2025,STANDARD PACK 1,6.00
43,17 Jun 2025,STANDARD PACK 2,12.50
44,18 Jun 2025,Daily Worship,30.90
45,18 Jun 2025,Regular Pass,30.90
46,20 Jun 2025,Daily Deal (7d),30.90
47,20 Jun 2025,Mini Pass,6.00
48,20 Jun 2025,STANDARD PACK 5,30.90
49,20 Jun 2025,Daily Deal (7d),30.90
50,22 Jun 2025,STANDARD PACK 10,123.90
51,22 Jun 2025,STANDARD PACK 5,30.90
52,22 Jun 2025,STANDARD PACK 7,61.90
